# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: recovery.csv | invented numbers, a dry run and not a result | scenario: daily-drying-wears-it-out | every column is defined in the codebook for this experiment
tray_id,month,day,date,cycles_done,fv_fm,hours_after_rewet,method,notes
T22,12,360,2028-01-27,0,0.707,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,1,30,2027-03-03,0,0.738,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,2,60,2027-04-02,0,0.748,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,3,90,2027-05-02,0,0.728,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,4,120,2027-06-01,0,0.752,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,5,150,2027-07-01,0,0.738,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,6,180,2027-07-31,0,0.736,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,7,210,2027-08-30,0,0.722,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,8,240,2027-09-29,0,0.744,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,9,270,2027-10-29,0,0.72,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,10,300,2027-11-28,0,0.697,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,11,330,2027-12-28,0,0.709,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T23,12,360,2028-01-27,0,0.714,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,1,30,2027-03-03,0,0.732,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,2,60,2027-04-02,0,0.749,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,3,90,2027-05-02,0,0.749,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,4,120,2027-06-01,0,0.764,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,5,150,2027-07-01,0,0.751,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,6,180,2027-07-31,0,0.721,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,7,210,2027-08-30,0,0.755,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,8,240,2027-09-29,0,0.714,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,9,270,2027-10-29,0,0.703,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,10,300,2027-11-28,0,0.737,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,11,330,2027-12-28,0,0.696,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T24,12,360,2028-01-27,0,0.707,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
